file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
pdc2021_110000.xes,0.6,0.873332223059402,0.530309364548495,0.00,0.00,0.00,0.00,95.51,99.27,99.78,10.80,39.08,100.00,0.30973451327433627,0.37168141592920356,0.08849557522123894,0.23008849557522124,0.00
pdc2021_110000.xes,0.8,0.8186288808559418,0.4554238032498902,0.00,39.60,0.00,39.60,92.87,100.00,99.31,6.74,57.99,100.00,0.3177570093457944,0.3644859813084112,0.09345794392523364,0.22429906542056074,0.00
pdc2021_110000.xes,1.0,0.836941349033786,0.07255054432348362,0.00,0.00,0.00,0.00,100.00,100.00,100.00,59.21,59.21,100.00,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.00
pdc2021_110101.xes,0.0,1.0,0.12697417184560122,5.60,60.80,0.00,55.20,94.63,100.00,100.00,8.26,26.10,100.00,0.24691358024691357,0.49382716049382713,0.07407407407407407,0.18518518518518517,0.00
pdc2021_110101.xes,0.2,0.9675058642289371,0.21856579878069315,0.00,44.00,0.00,44.00,82.37,100.00,100.00,8.26,53.22,100.00,0.26582278481012656,0.3670886075949367,0.11392405063291139,0.25316455696202533,0.00
pdc2021_110101.xes,0.4,0.9290051365074338,0.26560726447219074,0.00,0.00,0.00,0.00,95.40,98.59,99.56,9.73,54.40,99.72,0.2962962962962963,0.345679012345679,0.09876543209876543,0.25925925925925924,0.00
pdc2021_110101.xes,0.6,0.8639011430891784,0.6968031968031968,0.00,0.00,0.00,0.00,89.79,92.24,95.94,15.61,53.31,99.17,0.2857142857142857,0.3116883116883117,0.1038961038961039,0.2987012987012987,0.00
pdc2021_110101.xes,0.8,0.8290328677884488,0.803343949044586,0.00,0.00,0.00,0.00,87.98,91.88,94.97,18.20,58.26,97.73,0.323943661971831,0.29577464788732394,0.08450704225352113,0.29577464788732394,0.00
pdc2021_110101.xes,1.0,0.7966693301686358,0.45587734241908007,0.00,0.00,0.00,0.00,97.03,93.87,93.87,35.45,35.45,100.00,0.2631578947368421,0.47368421052631576,0.0,0.2631578947368421,0.00
pdc2021_110111.xes,0.0,0.9977068728364905,0.11916958140584455,0.00,40.40,0.00,40.40,89.26,100.00,99.90,6.90,36.35,100.00,0.25287356321839083,0.47126436781609193,0.09195402298850575,0.1839080459770115,0.00
pdc2021_110111.xes,0.2,0.9706745696536354,0.23789028304639626,0.00,0.00,0.00,0.00,95.93,98.62,99.00,7.98,57.77,99.77,0.2891566265060241,0.3373493975903614,0.0963855421686747,0.27710843373493976,0.00
pdc2021_110111.xes,0.4,0.9331613756683638,0.3843843843843844,0.00,0.00,0.00,0.00,97.58,90.22,95.54,11.87,47.25,97.94,0.3116883116883117,0.33766233766233766,0.07792207792207792,0.2727272727272727,0.00
pdc2021_110111.xes,0.6,0.8944002993063858,0.7519201228878648,0.00,0.00,0.00,0.00,97.78,88.92,90.99,13.76,23.23,97.27,0.35714285714285715,0.37142857142857144,0.04285714285714286,0.22857142857142856,0.00
