file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total
pdc2021_011111.xes,0.2,0.9709532796161818,0.18204582153471716,0.00,37.60,0.00,37.60,89.71,100.00,100.00,7.14,41.28,100.00
pdc2021_011111.xes,0.4,0.9306988456119053,0.2885321386348081,0.00,0.00,0.00,0.00,96.99,98.19,98.13,8.46,53.40,98.83
pdc2021_011111.xes,0.6,0.896262566161221,0.8159866777685263,0.00,0.00,0.00,0.00,98.35,93.07,95.06,10.06,19.22,99.45
pdc2021_011111.xes,0.8,0.8116687740723065,0.8159866777685263,0.00,0.00,0.00,0.00,85.15,67.54,71.28,18.71,40.66,92.59
pdc2021_011111.xes,1.0,0.8043331161935753,0.48330804248861914,0.00,0.00,0.00,0.00,96.96,93.31,93.31,33.98,33.98,100.00
pdc2021_020011.xes,0.0,1.0,0.0726026549319948,0.00,71.20,0.00,71.20,88.49,100.00,98.57,4.26,63.68,100.00
pdc2021_020011.xes,0.2,0.9844597995370954,0.13875044499821998,0.00,71.20,0.00,71.20,91.39,100.00,100.00,4.26,41.04,100.00
pdc2021_020011.xes,0.4,0.921128049330714,0.34468601287673795,0.00,36.80,0.00,36.80,92.93,100.00,93.87,4.37,37.45,100.00
pdc2021_020011.xes,0.6,0.8576336588212604,0.6033755274261603,0.00,0.00,0.00,0.00,84.43,60.14,75.07,13.47,49.19,93.82
pdc2021_020011.xes,0.8,0.7672545468127737,0.34322118256022294,0.00,71.20,0.00,71.20,90.10,100.00,97.78,4.32,51.44,100.00
pdc2021_020011.xes,1.0,0.8445595803392641,0.14998274076631002,0.00,0.00,0.00,0.00,100.00,100.00,100.00,34.20,34.20,100.00
pdc2021_100101.xes,0.0,1.0,0.1376155429678565,0.00,35.20,0.00,35.20,86.40,100.00,98.79,9.35,61.31,100.00
pdc2021_100101.xes,0.2,0.9765901254845308,0.2764206626168627,0.00,0.00,0.00,0.00,93.75,98.18,98.50,11.18,53.80,99.61
pdc2021_100101.xes,0.4,0.9332855970020828,0.3384087626384208,0.00,0.00,0.00,0.00,93.03,98.18,98.53,11.37,63.67,100.00
pdc2021_100101.xes,0.6,0.850751162739112,0.8260568260568261,0.00,0.00,0.00,0.00,93.49,82.91,89.17,22.07,54.08,97.12
pdc2021_100101.xes,0.8,0.848119249541914,0.818368745716244,0.00,0.00,0.00,0.00,90.86,91.80,95.04,25.87,78.93,96.09
pdc2021_100101.xes,1.0,0.7641907779811173,0.3785509096712416,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.38,42.06,100.00
pdc2021_100110.xes,0.0,1.0,0.16120194432169688,0.40,0.40,0.00,0.00,89.45,100.00,100.00,14.04,65.10,100.00
pdc2021_100110.xes,0.2,0.9666532990407458,0.3445038689121529,0.40,0.40,0.00,0.00,92.08,98.38,98.43,15.90,65.90,98.92
pdc2021_100110.xes,0.4,0.9130813566275131,0.630095238095238,0.80,0.80,0.00,0.00,93.40,94.99,95.75,39.63,67.29,96.30
pdc2021_100110.xes,0.6,0.8724331376836933,0.6365222448386159,0.40,0.40,0.00,0.00,90.85,85.95,88.91,43.24,70.25,89.84
pdc2021_100110.xes,0.8,0.8470843203489891,0.5691266516274573,0.40,0.40,0.00,0.00,89.92,86.00,88.60,45.45,74.41,94.78
pdc2021_100110.xes,1.0,0.8015358426059664,0.28831928436263543,0.40,0.40,0.00,0.00,98.22,97.36,97.36,60.36,60.36,100.00
pdc2021_110000.xes,0.0,1.0,0.08912452262469617,0.00,78.40,0.00,78.40,74.86,100.00,100.00,4.69,54.86,100.00
pdc2021_110000.xes,0.2,0.976300251090099,0.12045332455334712,0.00,78.40,0.00,78.40,82.57,100.00,96.03,4.69,40.57,100.00
pdc2021_110000.xes,0.4,0.9217797978422517,0.47750138197899394,0.00,0.00,0.00,0.00,95.39,96.20,98.22,21.19,57.74,99.02
pdc2021_110000.xes,0.6,0.873332223059402,0.530309364548495,0.00,0.00,0.00,0.00,95.51,99.27,99.78,10.80,39.08,100.00
pdc2021_110000.xes,0.8,0.8186288808559418,0.4554238032498902,0.00,39.60,0.00,39.60,92.87,100.00,99.31,6.74,57.99,100.00
pdc2021_110000.xes,1.0,0.836941349033786,0.07255054432348362,0.00,0.00,0.00,0.00,100.00,100.00,100.00,59.21,59.21,100.00
pdc2021_110101.xes,0.0,1.0,0.12697417184560122,5.60,60.80,0.00,55.20,94.63,100.00,100.00,8.26,26.10,100.00
pdc2021_110101.xes,0.2,0.9675058642289371,0.21856579878069315,0.00,44.00,0.00,44.00,82.37,100.00,100.00,8.26,53.22,100.00
pdc2021_110101.xes,0.4,0.9290051365074338,0.26560726447219074,0.00,0.00,0.00,0.00,95.40,98.59,99.56,9.73,54.40,99.72
pdc2021_110101.xes,0.6,0.8639011430891784,0.6968031968031968,0.00,0.00,0.00,0.00,89.79,92.24,95.94,15.61,53.31,99.17
pdc2021_110101.xes,0.8,0.8290328677884488,0.803343949044586,0.00,0.00,0.00,0.00,87.98,91.88,94.97,18.20,58.26,97.73
pdc2021_110101.xes,1.0,0.7966693301686358,0.45587734241908007,0.00,0.00,0.00,0.00,97.03,93.87,93.87,35.45,35.45,100.00
pdc2021_110111.xes,0.0,0.9977068728364905,0.11916958140584455,0.00,40.40,0.00,40.40,89.26,100.00,99.90,6.90,36.35,100.00
pdc2021_110111.xes,0.2,0.9706745696536354,0.23789028304639626,0.00,0.00,0.00,0.00,95.93,98.62,99.00,7.98,57.77,99.77
pdc2021_110111.xes,0.4,0.9331613756683638,0.3843843843843844,0.00,0.00,0.00,0.00,97.58,90.22,95.54,11.87,47.25,97.94
pdc2021_110111.xes,0.6,0.8944002993063858,0.7519201228878648,0.00,0.00,0.00,0.00,97.78,88.92,90.99,13.76,23.23,97.27
pdc2021_110111.xes,0.8,0.8596815274080785,0.7519201228878648,0.00,0.00,0.00,0.00,95.83,94.40,97.53,10.53,41.67,100.00
pdc2021_110111.xes,1.0,0.80210608934698,0.45989505247376317,0.00,0.00,0.00,0.00,97.55,94.49,94.49,32.39,32.39,100.00
pdc2021_111011.xes,0.0,1.0,0.09205555713352453,0.00,73.60,0.00,73.60,88.98,100.00,98.49,4.29,54.58,100.00
pdc2021_111011.xes,0.2,0.9739339221265292,0.21381963046912567,0.00,0.00,0.00,0.00,95.15,98.59,99.67,6.12,32.82,99.77
pdc2021_111011.xes,0.4,0.9424850582715479,0.46938164395867643,0.00,0.00,0.00,0.00,96.79,85.19,89.65,9.85,37.04,98.93
pdc2021_111011.xes,0.6,0.9238462388276417,0.5042839657282742,0.00,0.00,0.00,0.00,97.72,85.36,87.89,9.85,20.68,97.88
pdc2021_111011.xes,0.8,0.8203538858729644,0.448475004511821,0.00,0.00,0.00,0.00,96.47,92.32,96.14,8.72,31.73,93.21
pdc2021_111011.xes,1.0,0.8450798926937944,0.13166238864562885,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.07,33.07,100.00
pdc2021_120001.xes,0.0,1.0,0.07138307476723516,0.00,73.60,0.00,73.60,90.13,100.00,98.84,4.27,58.15,100.00
pdc2021_120001.xes,0.2,0.9861828492004301,0.08313227513227517,0.00,73.60,0.00,73.60,90.04,100.00,100.00,4.27,44.20,100.00
pdc2021_120001.xes,0.4,0.9218858223147723,0.43841264387562273,0.00,0.00,0.00,0.00,96.12,78.46,89.59,10.78,35.20,99.14
pdc2021_120001.xes,0.6,0.8974682898776497,0.5348335388409371,0.00,0.00,0.00,0.00,94.52,76.23,82.64,17.03,26.40,97.23
pdc2021_120001.xes,0.8,0.7598128376594641,0.47913304127276923,0.00,73.60,0.00,73.60,90.83,100.00,100.00,4.30,47.66,100.00
pdc2021_120001.xes,1.0,0.848680991848403,0.16036308623298035,0.00,0.00,0.00,0.00,100.00,100.00,100.00,38.13,38.13,100.00
pdc2021_120101.xes,0.0,1.0,0.12338362644285694,3.60,54.40,0.00,50.80,94.85,100.00,100.00,7.75,26.41,100.00
pdc2021_120101.xes,0.2,0.9675559009211168,0.21762898269448483,0.00,44.40,0.00,44.40,84.68,100.00,100.00,7.75,54.14,100.00
pdc2021_120101.xes,0.4,0.9345166316549227,0.31283575265744656,0.00,0.00,0.00,0.00,95.64,96.70,99.11,9.04,59.16,99.39
pdc2021_120101.xes,0.6,0.8626390569708939,0.7133401221995926,0.00,0.00,0.00,0.00,89.83,88.40,94.22,12.90,50.61,97.67
pdc2021_120101.xes,0.8,0.8293057326408202,0.7388919363686232,0.00,0.00,0.00,0.00,91.42,86.19,90.73,21.14,44.61,94.73
pdc2021_120101.xes,1.0,0.8110834342250658,0.45457721872816215,0.00,0.00,0.00,0.00,96.60,92.88,92.88,34.85,34.85,100.00
pdc2021_120110.xes,0.0,1.0,0.10544756078040796,0.00,0.00,0.00,0.00,77.28,100.00,100.00,8.93,60.16,100.00
pdc2021_120110.xes,0.2,0.9604716400944289,0.2067353323724822,0.00,0.00,0.00,0.00,94.44,100.00,100.00,8.93,52.74,100.00
pdc2021_120110.xes,0.4,0.9363467899607967,0.31870976770221104,0.00,0.00,0.00,0.00,97.33,100.00,100.00,11.00,47.68,100.00
pdc2021_120110.xes,0.6,0.8562346171015934,0.6722068328716528,11.60,11.60,0.00,0.00,98.22,100.00,99.08,9.79,47.33,100.00
pdc2021_120110.xes,0.8,0.8392160512422497,0.6156655844155844,0.00,0.00,0.00,0.00,96.60,83.55,90.61,13.93,33.13,96.34
pdc2021_120110.xes,1.0,0.7855045336999625,0.22179379715004188,0.00,0.00,0.00,0.00,97.23,94.54,94.54,41.83,41.83,100.00
pdc2021_120111.xes,0.0,1.0,0.11983684277133655,0.00,54.00,0.00,54.00,95.42,100.00,100.00,6.95,22.32,100.00
pdc2021_120111.xes,0.2,0.97896179886751,0.19990441920611712,0.00,45.60,0.00,45.60,83.54,100.00,98.99,6.95,50.68,100.00
pdc2021_120111.xes,0.4,0.9344084699293258,0.3683201533668823,0.00,0.00,0.00,0.00,96.38,83.90,92.24,12.54,49.96,98.32
pdc2021_120111.xes,0.6,0.8668392636618816,0.7319932998324958,0.00,0.00,0.00,0.00,81.59,91.96,96.06,12.03,52.47,97.80
pdc2021_120111.xes,0.8,0.8329971315608793,0.6485753052917231,0.00,0.00,0.00,0.00,81.44,97.59,97.94,12.80,50.74,99.15
pdc2021_120111.xes,1.0,0.8123208443471647,0.46258992805755395,0.00,0.00,0.00,0.00,96.82,92.86,92.86,32.93,32.93,100.00
pdc2021_121010.xes,0.0,1.0,0.056402806061026545,0.00,40.00,0.00,40.00,82.81,100.00,99.81,5.28,64.20,100.00
pdc2021_121010.xes,0.2,0.983579474465742,0.1283055525573219,0.00,40.00,0.00,40.00,95.12,100.00,99.91,5.28,44.61,100.00
pdc2021_121010.xes,0.4,0.9141331857906472,0.495850622406639,0.00,0.00,0.00,0.00,87.24,80.52,88.70,14.42,39.05,95.65
pdc2021_121010.xes,0.6,0.8360402396703045,0.5145847250055666,0.00,0.00,0.00,0.00,87.98,80.23,90.47,15.68,50.12,94.99
pdc2021_121010.xes,0.8,0.7730296338514132,0.5002566735112937,0.00,0.00,0.00,0.00,94.04,86.35,94.51,16.88,53.89,95.04
pdc2021_121010.xes,1.0,0.8140203391727214,0.10780141843971636,0.00,0.00,0.00,0.00,100.00,100.00,100.00,43.51,43.51,100.00
pdc2021_121101.xes,0.0,1.0,0.11804870788293731,0.00,48.40,0.00,48.40,95.67,100.00,100.00,6.81,22.58,100.00
pdc2021_121101.xes,0.2,0.9870252610962923,0.1961037058737366,0.00,52.80,0.00,52.80,83.07,100.00,98.77,6.81,56.45,100.00
pdc2021_121101.xes,0.4,0.9397058246733437,0.28851838713491784,0.00,0.00,0.00,0.00,96.60,97.68,98.89,7.95,56.40,99.65
pdc2021_121101.xes,0.6,0.8396275085520153,0.7741691842900302,0.00,0.00,0.00,0.00,97.65,90.92,95.98,12.89,41.08,98.49
pdc2021_121101.xes,0.8,0.833573450029334,0.77728285077951,0.00,0.00,0.00,0.00,97.40,92.62,96.47,16.87,56.07,96.81
pdc2021_121101.xes,1.0,0.7968945959766441,0.36047345767575323,0.00,0.00,0.00,0.00,99.79,100.00,100.00,28.89,36.25,100.00
pdc2021_121111.xes,0.0,1.0,0.12203252958411415,0.00,44.00,0.00,44.00,95.00,100.00,99.79,7.29,24.38,100.00
pdc2021_121111.xes,0.2,0.9729905364030177,0.2124026460716264,0.00,42.40,0.00,42.40,81.75,100.00,100.00,7.29,57.40,100.00
pdc2021_121111.xes,0.4,0.921182072147373,0.4072040835981894,0.00,0.00,0.00,0.00,96.08,84.53,92.50,11.64,50.93,98.35
pdc2021_121111.xes,0.6,0.8894706447245827,0.825491873396065,0.00,0.00,0.00,0.00,96.81,94.04,96.36,10.13,23.04,99.49
pdc2021_121111.xes,0.8,0.816879520148178,0.825491873396065,0.00,0.00,0.00,0.00,97.12,94.04,96.77,10.13,51.31,99.49
pdc2021_121111.xes,1.0,0.7994462217649294,0.49821640903686093,0.00,0.00,0.00,0.00,97.41,94.26,94.26,35.19,35.19,100.00
pdc2021_000000.xes,0.0,1.0,0.11808204345793238,0.00,92.00,0.00,92.00,84.19,100.00,100.00,6.03,55.94,100.00
pdc2021_000000.xes,0.2,0.9745906490332058,0.3263968540062264,0.00,0.00,0.00,0.00,94.97,98.76,94.21,10.34,56.93,99.93
pdc2021_000000.xes,0.4,0.8914193060125921,0.4579584582916806,0.00,0.00,0.00,0.00,89.26,78.88,86.03,18.39,60.52,96.17
pdc2021_000000.xes,0.6,0.8419254441769114,0.5720609936055091,0.00,0.00,0.00,0.00,93.25,92.32,96.08,22.50,52.36,98.59
pdc2021_000000.xes,0.8,0.8356415848746018,0.5381542989278958,0.00,0.00,0.00,0.00,87.16,84.55,89.36,33.38,67.63,92.56
pdc2021_000000.xes,1.0,0.83115529588059,0.056605259014328446,0.00,0.00,0.00,0.00,100.00,100.00,100.00,54.78,54.78,99.90
pdc2021_000101.xes,0.0,1.0,0.1345787318022682,0.00,38.40,0.00,38.40,93.64,100.00,100.00,9.94,36.07,100.00
pdc2021_000101.xes,0.2,0.9676015518946047,0.31477682284446906,0.00,0.00,0.00,0.00,93.55,99.42,98.58,11.94,61.94,99.87
pdc2021_000101.xes,0.4,0.9349280312550827,0.3226944203527031,0.00,0.00,0.00,0.00,95.29,99.42,98.54,12.16,62.77,100.00
pdc2021_000101.xes,0.6,0.8529582370438719,0.8257317903335603,0.00,0.00,0.00,0.00,87.52,85.84,91.60,24.09,80.20,97.38
pdc2021_000101.xes,0.8,0.7860772559757981,0.8306951135581555,0.00,0.00,0.00,0.00,92.67,86.71,88.78,21.42,41.48,94.65
pdc2021_000101.xes,1.0,0.7581526552891344,0.4309352517985612,0.00,0.00,0.00,0.00,100.00,100.00,100.00,36.76,45.48,100.00
pdc2021_001011.xes,0.0,1.0,0.10673904630414088,0.00,72.80,0.00,72.80,81.09,100.00,100.00,5.65,65.03,100.00
pdc2021_001011.xes,0.2,0.9576771780917906,0.2639373262572656,0.00,54.40,0.00,54.40,93.28,97.97,99.68,5.65,46.13,99.80
pdc2021_001011.xes,0.4,0.9148451339573809,0.37868002460673167,0.00,0.00,0.00,0.00,94.39,96.22,99.22,7.15,40.92,99.70
pdc2021_001011.xes,0.6,0.8560542328619614,0.4931889053011653,0.00,0.00,0.00,0.00,94.09,86.53,92.57,15.76,42.32,98.57
pdc2021_001011.xes,0.8,0.8238330041287004,0.45044266896998486,0.00,0.00,0.00,0.00,88.30,88.60,93.81,17.77,67.27,97.85
pdc2021_001011.xes,1.0,0.838443751819412,0.19682854311199205,0.00,0.00,0.00,0.00,100.00,100.00,100.00,36.70,36.70,100.00
pdc2021_001100.xes,0.0,1.0,0.14619083537620214,0.40,0.40,0.00,0.00,89.51,100.00,99.49,12.12,54.99,100.00
pdc2021_001100.xes,0.2,0.9727290886316742,0.28791364360290217,0.40,0.40,0.00,0.00,88.30,96.85,97.76,12.12,59.19,99.45
pdc2021_001100.xes,0.4,0.9002793346407464,0.5871509894280293,0.40,0.40,0.00,0.00,88.13,81.98,85.69,33.04,66.82,94.73
pdc2021_001100.xes,0.6,0.8707509283994966,0.8999218139171228,0.40,0.40,0.00,0.00,89.39,83.30,87.34,32.72,64.01,94.41
pdc2021_001100.xes,0.8,0.7679090655951132,0.8999218139171228,0.40,0.40,0.00,0.00,87.07,96.69,97.85,17.07,86.86,99.17
pdc2021_001100.xes,1.0,0.799383252649197,0.2375150163034151,0.00,0.00,0.00,0.00,98.40,97.56,97.56,59.01,59.01,99.81
pdc2021_001101.xes,0.0,1.0,0.13249651324965128,0.00,24.40,0.00,24.40,81.11,100.00,100.00,9.50,60.71,100.00
pdc2021_001101.xes,0.2,0.975943555603895,0.2804424614240565,0.00,0.00,0.00,0.00,93.79,99.26,99.79,11.42,53.27,99.85
pdc2021_001101.xes,0.4,0.9314798563334946,0.32302655511094946,0.00,0.00,0.00,0.00,93.81,99.26,99.79,11.58,54.01,100.00
pdc2021_001101.xes,0.6,0.8181728468990936,0.7052810902896082,0.00,0.00,0.00,0.00,97.93,94.09,96.25,21.06,50.47,97.46
pdc2021_001101.xes,0.8,0.7837906918254022,0.6870229007633588,0.00,0.00,0.00,0.00,90.31,90.35,93.20,30.55,85.05,95.80
